ID,回,年,月,日,水路,タイプ,レース番号,競技名,競技性別,リレー年齢区分,リレー実年齢合計,リレータイム,リレー大会新差,リレー泳順,個人年齢区分,順位,選手名,性別,チーム名,個人タイム,個人大会新差,飛込タイム,LAPタイム,個人得点,チーム得点,申請タイム,ぴったり賞,大会新,大会記録,日本記録,世界記録,レーン
115,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,72～119歳,100,2:06.77,,3,,2,深堀陽子,,セ・二俣川,32.54,,,,,,,,,1:57.97,1:49.78,1:50.28,3/5
116,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,72～119歳,100,2:06.77,,4,,2,竹下菜々美,,セ・二俣川,29.72,,,,,,,,,1:57.97,1:49.78,1:50.28,3/5
117,77,2024,10,26,長水路,チーム,4,4×50mフリーリレー,男子,280～319歳,296,2:28.92,,1,,1,若宮強,,セ・成城,35.22,,,,,,,,,2:18.54,2:28.92,2:28.92,1/7
118,77,2024,10,26,長水路,チーム,4,4×50mフリーリレー,男子,280～319歳,296,2:28.92,,2,,1,木津誠,,セ・成城,34.83,,,,,,,,,2:18.54,2:28.92,2:28.92,1/7
119,77,2024,10,26,長水路,チーム,4,4×50mフリーリレー,男子,280～319歳,296,2:28.92,,3,,1,吉田亮,,セ・成城,37.29,,,,,,,,,2:18.54,2:28.92,2:28.92,1/7
120,77,2024,10,26,長水路,チーム,4,4×50mフリーリレー,男子,280～319歳,296,2:28.92,,4,,1,松下達一,,セ・成城,41.58,,,,,,,,,2:18.54,2:28.92,2:28.92,1/7
121,77,2024,10,26,長水路,チーム,4,4×50mフリーリレー,男子,240～279歳,241,1:53.10,,1,,1,平田貴幸,,セ・前橋,28.77,,,,,,,,TRUE,1:53.59,1:52.37,1:42.40,3/5
122,77,2024,10,26,長水路,チーム,4,4×50mフリーリレー,男子,240～279歳,241,1:53.10,,2,,1,荒川秀明,,セ・前橋,27.63,,,,,,,,TRUE,1:53.59,1:52.37,1:42.40,3/5
123,77,2024,10,26,長水路,チーム,4,4×50mフリーリレー,男子,240～279歳,241,1:53.10,,3,,1,滋野文夫,,セ・前橋,30.05,,,,,,,,TRUE,1:53.59,1:52.37,1:42.40,3/5
124,77,2024,10,26,長水路,チーム,4,4×50mフリーリレー,男子,240～279歳,241,1:53.10,,4,,1,金子惠一,,セ・前橋,26.65,,,,,,,,TRUE,1:53.59,1:52.37,1:42.40,3/5
125,77,2024,10,26,長水路,チーム,4,4×50mフリーリレー,男子,240～279歳,240,2:08.11,,1,,2,富松実,,セ・二俣川,32.18,,,,,,,,,1:53.59,1:52.37,1:42.40,2/6
